Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1747789891,"2025-05-21 01:11:31",B5740,CZ3401,8412.48,837.104,317,110.06025695801,25.398389816284
1747789906,"2025-05-21 01:11:46",B5740,CZ3401,8412.48,837.104,316,110.03677368164,25.420761108398
1747789921,"2025-05-21 01:12:01",B5740,CZ3401,8412.48,838.956,316,110.01289367676,25.443450927734
1747789936,"2025-05-21 01:12:16",B5740,CZ3401,8412.48,838.956,317,109.98905181885,25.466121673584
1747789951,"2025-05-21 01:12:31",B5740,CZ3401,8412.48,838.956,316,109.96129608154,25.492492675781
1747789966,"2025-05-21 01:12:46",B5740,CZ3401,8412.48,840.808,316,109.93789672852,25.514650344849
1747789981,"2025-05-21 01:13:01",B5740,CZ3401,8412.48,842.66,316,109.91246032715,25.538789749146
1747789996,"2025-05-21 01:13:16",B5740,CZ3401,8412.48,842.66,316,109.88677978516,25.563079833984
1747790011,"2025-05-21 01:13:31",B5740,CZ3401,8412.48,844.512,316,109.86328125,25.585372924805
1747790026,"2025-05-21 01:13:46",B5740,CZ3401,8412.48,844.512,316,109.83918762207,25.608200073242
1747790041,"2025-05-21 01:14:01",B5740,CZ3401,8412.48,842.66,305,109.81275177002,25.628171920776
1747790061,"2025-05-21 01:14:21",B5740,CZ3401,8412.48,840.808,290,109.77935791016,25.642044067383
1747790076,"2025-05-21 01:14:36",B5740,CZ3401,8412.48,844.512,288,109.74527740479,25.652297973633
1747790091,"2025-05-21 01:14:51",B5740,CZ3401,8412.48,842.66,288,109.71278381348,25.662090301514
1747790106,"2025-05-21 01:15:06",B5740,CZ3401,8412.48,844.512,289,109.67946624756,25.672210693359
1747790121,"2025-05-21 01:15:21",B5740,CZ3401,8412.48,844.512,289,109.639793396,25.68438911438
1747790136,"2025-05-21 01:15:36",B5740,CZ3401,8412.48,846.364,289,109.6065826416,25.694599151611
1747790151,"2025-05-21 01:15:51",B5740,CZ3401,8412.48,846.364,289,109.57335662842,25.7047996521
1747790166,"2025-05-21 01:16:06",B5740,CZ3401,8412.48,846.364,289,109.53742218018,25.715879440308
1747790181,"2025-05-21 01:16:21",B5740,CZ3401,8412.48,846.364,289,109.51326751709,25.723320007324
1747790196,"2025-05-21 01:16:36",B5740,CZ3401,8412.48,846.364,289,109.48000335693,25.733560562134
1747790211,"2025-05-21 01:16:51",B5740,CZ3401,8412.48,848.216,289,109.44492340088,25.744365692139
1747790226,"2025-05-21 01:17:06",B5740,CZ3401,8412.48,846.364,289,109.40795898438,25.755800247192
1747790241,"2025-05-21 01:17:21",B5740,CZ3401,8412.48,846.364,289,109.37283325195,25.766710281372
1747790256,"2025-05-21 01:17:36",B5740,CZ3401,8412.48,848.216,290,109.33792114258,25.777629852295
1747790271,"2025-05-21 01:17:51",B5740,CZ3401,8412.48,848.216,290,109.30374145508,25.788389205933
1747790286,"2025-05-21 01:18:06",B5740,CZ3401,8412.48,848.216,290,109.2797088623,25.79594039917
1747790301,"2025-05-21 01:18:21",B5740,CZ3401,8412.48,850.068,290,109.2469329834,25.806200027466
1747790316,"2025-05-21 01:18:36",B5740,CZ3401,8412.48,850.068,289,109.21389770508,25.816568374634
1747790331,"2025-05-21 01:18:51",B5740,CZ3401,8412.48,851.92,289,109.18060302734,25.82698059082
1747790346,"2025-05-21 01:19:06",B5740,CZ3401,8412.48,853.772,289,109.14579772949,25.837779998779
1747790361,"2025-05-21 01:19:21",B5740,CZ3401,8412.48,853.772,289,109.11185455322,25.84831237793
1747790376,"2025-05-21 01:19:36",B5740,CZ3401,8412.48,853.772,289,109.08003234863,25.858325958252
1747790391,"2025-05-21 01:19:51",B5740,CZ3401,8412.48,857.476,289,109.04630279541,25.868911743164
1747790406,"2025-05-21 01:20:06",B5740,CZ3401,8412.48,857.476,290,109.01226043701,25.879619598389
1747790421,"2025-05-21 01:20:21",B5740,CZ3401,8412.48,857.476,287,108.97918701172,25.88969039917
1747790436,"2025-05-21 01:20:36",B5740,CZ3401,8412.48,857.476,280,108.94465637207,25.896869659424
1747790451,"2025-05-21 01:20:51",B5740,CZ3401,8412.48,857.476,279,108.90953063965,25.901943206787
1747790466,"2025-05-21 01:21:06",B5740,CZ3401,8412.48,855.624,280,108.87399291992,25.907043457031
1747790481,"2025-05-21 01:21:21",B5740,CZ3401,8412.48,857.476,279,108.83849334717,25.912189483643
1747790496,"2025-05-21 01:21:36",B5740,CZ3401,8412.48,855.624,280,108.80393218994,25.917251586914
1747790511,"2025-05-21 01:21:51",B5740,CZ3401,8412.48,857.476,279,108.76840209961,25.922521591187
1747790526,"2025-05-21 01:22:06",B5740,CZ3401,8412.48,859.328,279,108.73348236084,25.927734375
1747790542,"2025-05-21 01:22:22",B5740,CZ3401,8412.48,857.476,279,108.69826507568,25.932952880859
1747790556,"2025-05-21 01:22:36",B5740,CZ3401,8412.48,855.624,279,108.66255187988,25.938348770142
1747790571,"2025-05-21 01:22:51",B5740,CZ3401,8412.48,855.624,280,108.62789154053,25.943756103516
1747790586,"2025-05-21 01:23:06",B5740,CZ3401,8412.48,855.624,282,108.59296417236,25.949615478516
1747790601,"2025-05-21 01:23:21",B5740,CZ3401,8412.48,855.624,283,108.55844116211,25.956735610962
1747790616,"2025-05-21 01:23:36",B5740,CZ3401,8412.48,853.772,283,108.52363586426,25.96395111084
1747790631,"2025-05-21 01:23:51",B5740,CZ3401,8412.48,851.92,283,108.48993682861,25.970859527588
1747790646,"2025-05-21 01:24:06",B5740,CZ3401,8412.48,846.364,282,108.45475769043,25.977918624878
1747790661,"2025-05-21 01:24:21",B5740,CZ3401,8412.48,829.696,282,108.42121887207,25.98438835144
1747790676,"2025-05-21 01:24:36",B5740,CZ3401,8412.48,816.732,282,108.3881072998,25.990631103516
1747790691,"2025-05-21 01:24:51",B5740,CZ3401,8412.48,811.176,282,108.35446166992,25.996959686279
