dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1747790106,1,109.67946624756,25.672210693359,0,14,844.512,0,0,0,8412.48
1747790121,1,109.639793396,25.68438911438,0,14,844.512,0,0,0,8412.48
1747790136,1,109.6065826416,25.694599151611,0,14,846.364,0,0,0,8412.48
1747790151,1,109.57335662842,25.7047996521,0,14,846.364,0,0,0,8412.48
1747790166,1,109.53742218018,25.715879440308,0,14,846.364,0,0,0,8412.48
1747790181,1,109.51326751709,25.723320007324,0,14,846.364,0,0,0,8412.48
1747790196,1,109.48000335693,25.733560562134,0,14,846.364,0,0,0,8412.48
1747790211,1,109.44492340088,25.744365692139,0,14,848.216,0,0,0,8412.48
1747790226,1,109.40795898438,25.755800247192,0,14,846.364,0,0,0,8412.48
1747790241,1,109.37283325195,25.766710281372,0,14,846.364,0,0,0,8412.48
1747790256,1,109.33792114258,25.777629852295,0,14,848.216,0,0,0,8412.48
1747790271,1,109.30374145508,25.788389205933,0,14,848.216,0,0,0,8412.48
1747790286,1,109.2797088623,25.79594039917,0,14,848.216,0,0,0,8412.48
1747790301,1,109.2469329834,25.806200027466,0,14,850.068,0,0,0,8412.48
1747790316,1,109.21389770508,25.816568374634,0,14,850.068,0,0,0,8412.48
1747790331,1,109.18060302734,25.82698059082,0,14,851.92,0,0,0,8412.48
1747790346,1,109.14579772949,25.837779998779,0,14,853.772,0,0,0,8412.48
1747790361,1,109.11185455322,25.84831237793,0,14,853.772,0,0,0,8412.48
1747790376,1,109.08003234863,25.858325958252,0,14,853.772,0,0,0,8412.48
1747790391,1,109.04630279541,25.868911743164,0,14,857.476,0,0,0,8412.48
1747790406,1,109.01226043701,25.879619598389,0,14,857.476,0,0,0,8412.48
1747790421,1,108.97918701172,25.88969039917,0,14,857.476,0,0,0,8412.48
1747790436,1,108.94465637207,25.896869659424,0,14,857.476,0,0,0,8412.48
1747790451,1,108.90953063965,25.901943206787,0,14,857.476,0,0,0,8412.48
1747790466,1,108.87399291992,25.907043457031,0,14,855.624,0,0,0,8412.48
1747790481,1,108.83849334717,25.912189483643,0,14,857.476,0,0,0,8412.48
1747790496,1,108.80393218994,25.917251586914,0,14,855.624,0,0,0,8412.48
1747790511,1,108.76840209961,25.922521591187,0,14,857.476,0,0,0,8412.48
1747790526,1,108.73348236084,25.927734375,0,14,859.328,0,0,0,8412.48
1747790542,1,108.69826507568,25.932952880859,0,14,857.476,0,0,0,8412.48
1747790556,1,108.66255187988,25.938348770142,0,14,855.624,0,0,0,8412.48
1747790571,1,108.62789154053,25.943756103516,0,14,855.624,0,0,0,8412.48
1747790586,1,108.59296417236,25.949615478516,0,14,855.624,0,0,0,8412.48
1747790601,1,108.55844116211,25.956735610962,0,14,855.624,0,0,0,8412.48
1747790616,1,108.52363586426,25.96395111084,0,14,853.772,0,0,0,8412.48
1747790631,1,108.48993682861,25.970859527588,0,14,851.92,0,0,0,8412.48
